Year,Series,Sustainability level,Unit measure,Unit multiplier,Observation status,Value
2011,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.54385965
2012,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.54385965
2013,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.54385965
2014,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.54385965
2015,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.54385965
2016,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.54385965
2017,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.54385965
1990,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,7.01754386
1991,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,10.52631579
1992,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,12.28070175
1993,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,10.52631579
1994,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,12.28070175
1995,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,5.263157895
1996,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,5.263157895
1997,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,5.263157895
1998,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,3.50877193
1999,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,5.263157895
2000,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,8.771929825
2001,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,8.771929825
2002,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,14.03508772
2003,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,24.56140351
2004,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,21.05263158
2005,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,19.29824561
2006,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,15.78947368
2007,"Pressure (Stocks harvested, %)",Percentage of fish stocks harvested below FMSY,Percentage (%),Units,Undefined,19.29824561
